"Company Name",ISIN,"Target Qualification",SME?,"Business ambitions 1.5",Country,Region,Sector,Status,Date,"Date Explanation",Target,"Target Classification"
"Eisai Co., Ltd.",JP3160400002,2°C,,,Japan,Asia,"Pharmaceuticals and Biotech","Targets Set","2019-04-30 23:00:00",,"
Japanese pharmaceutical company Eisai Co., Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 30% by FY2030 from a FY2016 base year. Eisai Co., Ltd. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 30 % within the same timeframe.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Electricity Supply Board (ESB)",,,,,Ireland,Europe,"Electric Utilities and Energy Related",Committed,"2020-03-01 00:00:00",,,
Electrolux,SE0000103814,1.5°C,,1,Sweden,Europe,"Consumer Products and Durables","Targets Set","2018-03-31 23:00:00",,"
Swedish multinational home appliance manufacturer Electrolux commits to reduce its absolute scope 1 and 2 GHG emissions by 80% between 2015 and 2025. It also commits to reduce the absolute scope 3 emissions from the use of sold products by 25% during the same time frame, covering three-quarters of all products sold by Electrolux.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Elevate Textiles",,,,,"United States of America (USA)","North America","Textiles, Apparel, Luxury Goods",Committed,"2019-09-30 23:00:00",,,
"Elia Group",,,,,Belgium,Europe,"Electric Utilities and Energy Related",Committed,"2020-09-30 23:00:00",,,
"Elisa Corporation",FI0009007884,1.5°C,,,Finland,Europe,Telecommunications,"Targets Set","2017-03-31 23:00:00",,"
Finnish telecommunications company Elisa Corporation commits to reduce absolute Scope 1 and 2 emissions 50% by 2025 from a 2016 base-year. Elisa Corporation also commits to reduce absolute Scope 3 emissions 12% over the same time-period.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Ella's Kitchen (Brands) Limited",,,,,"United Kingdom (UK)",Europe,"Food and Staples Retailing",Committed,"2020-08-31 23:00:00",,,
"Elopak AS",,1.5°C,,1,Norway,Europe,"Containers and Packaging","Targets Set","2019-12-01 00:00:00",,"
International supplier of paper based packaging solutions for liquid food Elopak commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year and absolute scope 3 emissions 16% over the same time period.* Elopak commits to continue annually sourcing 100% renewable electricity through 2030.
*The target boundary includes biogenic emissions and removals from bioenergy feedstocks
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Emira Property Fund Ltd",ZAE000050712,2°C,,,"South Africa",Africa,"Real Estate","Targets Set","2018-06-30 23:00:00",,"
Real estate investment trust company Emira Property Fund commits to reduce absolute scope 1 and 2 GHG emissions 13% by 2022 from a 2015 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"En+ Group",,,,1,Russia,Europe,"Mining - Metals (Iron, Aluminium, Other Metals)",Committed,"2019-07-31 23:00:00",,,
"Enagás S.A.",,,,,Spain,Europe,"Oil & Gas",Committed,"2020-09-30 23:00:00",,,
Eneco,,2°C,,,Netherlands,Europe,"Electric Utilities and Energy Related","Targets Set","2017-03-01 00:00:00",,"
Eneco commits to reduce absolute scope 1, 2 and 3 GHG emissions 36% by 2025 from a 2015 base year. Eneco also commits to reduce absolute scope 3 emissions from use of sold products 15% by 2025 from a 2015 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Enel SpA",IT0003128367,1.5°C,,1,Italy,Europe,"Electric Utilities and Energy Related","Targets Set","2020-10-30 00:00:00",,"Multinational  energy company Enel commits to reduce scope 1 GHG emissions 80% per kWh by 2030 from a 2017 base year, limiting them to 82 gCO2/kWheq, and achieve full decarbonization by 2050. Enel SpA also commits to reduce absolute scope 3 GHG emissions for the use of sold products 16% by 2030 from a 2017 base year","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Energetics Pty Ltd",,,,,Australia,Oceania,"Professional Services",Committed,"2020-02-01 00:00:00",,,
ENGIE,,2°C,,,France,Europe,"Electric Utilities and Energy Related","Targets Set","2020-02-01 00:00:00",,"
Service, business energy & regeneration company ENGIE commits to reduce power generation GHG emissions from scope 1 and scope 3, 52% per kWh by 2030 from a 2017 base year. ENGIE commits to reduce absolute scope 3 emissions from use of sold products 34% by 2030 from a 2017 base year
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"EPAL – Empresa Portugesa das Aguas Livres, S.A.",,,,1,Portugal,Europe,"Water Utilities",Committed,"2019-11-01 00:00:00",,,
"EPC Industrie Limited",,,,,India,Asia,"Commercial services and supplies",Committed,"2018-07-31 23:00:00",,,
"EQUIPOS MÓVILES DE CAMPAÑA ARPA",,,,1,Spain,Europe,"Technology Hardware and Equipment",Committed,"2019-11-01 00:00:00",,,
"ERG spa",IT0001157020,,,,Italy,Europe,"Electric Utilities and Energy Related",Committed,"2019-03-31 23:00:00",,,
"Ericsson Group",SE0000108656,1.5°C,,1,Sweden,Europe,"Technology Hardware and Equipment","Targets Set","2018-02-01 00:00:00",,"
Multinational networking and telecommunications company Ericsson commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2022 from a 2016 base year. Within the same timeframe, Ericsson also commits to a 35% reduction in the scope 3 emissions from business travel and upstream and downstream transportation, and to a 35% reduction in the energy consumption of comparable sold products in 2016.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
ERM,,"Well-below 2°C",,,"United Kingdom (UK)",Europe,"Professional Services","Targets Set","2019-03-01 00:00:00",,"
Management consulting services company ERM commits to a 30% reduction in absolute scope 1&2 GHG emissions by 2025 from a 2014 base year.
ERM commits to an 11% reduction in absolute GHG emissions from business travel and employee commuting by 2025 from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"ESPEC Corp.",,,,,Japan,Asia,"Electrical Equipment and Machinery",Committed,"2020-05-31 23:00:00",,,
"Essity AB",SE0009922164,2°C,,,Sweden,Europe,"Consumer Products and Durables","Targets Set","2018-12-01 00:00:00",,"
Global hygiene and health company Essity commits to reduce absolute Scope 1 and 2 GHG emissions 25% by 2030 from a 2016 base-year. Essity also commits to reduce absolute Scope 3 GHG emissions 18% by 2030 from a 2016 base-year. The Scope 3 target covers purchased key raw materials, transport, waste generated in operations and end of life treatment of sold products.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
Eurazeo,,,,,France,Europe,"Banks, Diverse Financials and Insurance",Committed,"2020-05-31 23:00:00",,,
"Europa Mundo Vacaciones (EMV)",,,,1,Spain,Europe,Hospitality,Committed,"2019-12-01 00:00:00",,,
"Europcar Mobility Group",FR0012789949,,,1,France,Europe,"Ground Transportation - Trucking",Committed,"2019-12-01 00:00:00",,,
"everis Portugal",,,,1,Portugal,Europe,"Software and Services",Committed,"2019-11-01 00:00:00",,,
"EVRY ASA",NO0010019649,"Well-below 2°C",,,Norway,Europe,"Software and Services","Targets Set","2017-08-31 23:00:00",,"
Norwegian information technology company, EVRY ASA commits to reduce absolute Scope 1 and 2 emissions and emissions from business travel 75% by 2030, from a 2011 base‐year. This will set the company on the path to accomplish a 90% reduction by 2050 from the same base‐year. In addition, EVRY ASA commits to reduce absolute emissions from employee commuting 66% by 2050 from a 2016 base-year.

","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Fabege AB",SE0011166974,,,,Sweden,Europe,"Real Estate",Committed,"2019-12-01 00:00:00",,,
"Facebook, Inc.",,,,1,"United States of America (USA)","North America","Software and Services",Committed,"2020-08-31 23:00:00",,,
"FamilyMart Co.,Ltd.",,"Well-below 2°C",,,Japan,Asia,"Food and Staples Retailing","Targets Set","2020-03-31 23:00:00",,"
FamilyMartCo.,Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year. FamilyMartCo.,Ltd. also commits to reduce absolute scope 3 purchased goods and services GHG emissions 15% by 2030 from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Far EasTone Telecommunications Co., Ltd.",TW0004904008,2°C,,,"Taiwan, Province of China",Asia,Telecommunications,"Targets Set","2019-07-31 23:00:00",,"
Telecommunications company  Far EasTone commits to reduce absolute scope 1 and 2 GHG emissions 20% by 2030 from a 2016 base year. Far EasTone also commit to reduce absolute scope 3 emissions 17% within the same timeframe
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Farm Frites",,,,,Netherlands,Europe,"Food and Beverage Processing",Committed,"2019-12-01 00:00:00",,,
"Farmer Bros. Co",US3076751086,1.5°C,,,"United States of America (USA)","North America","Food and Beverage Processing","Targets Set","2019-07-31 23:00:00",,"
American coffee foodservice company Farmer Bros. Co. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2025 from a 2018 base year. Farmer Bros. Co. also commits to reduce absolute scope 3 GHG emissions 18% by 2025 from a 2018 base year. 
*The target boundary includes biogenic emissions and removals from bioenergy feedstocks
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"FAST RETAILING CO., LTD.",JP3802300008,,,,Japan,Asia,Retailing,Committed,"2019-02-01 00:00:00",,,
"Fastweb S.p.A.",IT0001423562,1.5°C,,,Italy,Europe,Telecommunications,"Targets Set","2020-08-31 23:00:00",,"
Fastweb commits to reduce absolute scope 1 and 2 GHG emissions 62% and scope 3 GHG emissions 15% by 2030 from a 2018 base year. Fastweb also commits to continue annually sourcing 100% renewable electricity through 2030.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
Faurecia,,1.5°C,,1,France,Europe,"Automobiles and Components","Targets Set","2020-11-12 00:00:00",,"Faurecia commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2025 from a 2019 base year. Faurecia also commits to reduce absolute scope 3 GHG emissions 46% by 2030 from a 2019 base year.",
"Ferrocarrils de la Generalitat de Catalunya",,,,1,Spain,Europe,"Ground Transportation - Highways and Railtracks",Committed,"2020-01-01 00:00:00",,,
Ferrovial,ES0118900010,2°C,,,Spain,Europe,"Construction and Engineering","Targets Set","2017-06-30 23:00:00",,"
Spanish multinational company involved in design, construction, financing, transport and services infrastructure Ferrovial commits to reduce scope 1 and 2 absolute emissions 32% by 2030 from a 2009 base-year, this is equivalent to reduce emissions by 42.9% per million € of turnover. The company also commits to reduce scope 3 emissions (excluding capital goods and purchased goods & services) 20% by 2030 from a 2012 base-year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
Fidocar,,1.5°C,1,1,Uruguay,"Latin America","Automobiles and Components","Targets Set","2020-09-30 23:00:00",,"Fidocar commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"FIRMENICH SA",,1.5°C,,1,Switzerland,Europe,"Consumer Products and Durables","Targets Set","2018-08-31 23:00:00",,"
Fragrance & flavor company Firmenich SA commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year. Firmenich SA also commits to reduce absolute scope 3 GHG emissions from purchased goods and services (raw material suppliers) 20% by 2030 from a 2017 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Fisher & Paykel Healthcare Corporation Limited",,1.5°C,,,"New Zealand",Oceania,"Healthcare Equipment and Supplies","Targets Set","2020-05-31 23:00:00",,"
Fisher & Paykel Healthcare Corporation Limited commits to reduce absolute scope 1 and 2 GHG emissions 67% by FY2034 from a FY2019 base year. Fisher & Paykel Healthcare Corporation Limited also commits that 87% of suppliers by spend covering purchased goods and services and the use of sold products will have science-based targets by FY2024.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Fiskars Corporation",FI0009000400,1.5°C,,1,Finland,Europe,"Consumer Products and Durables","Targets Set","2020-09-30 23:00:00",,"
Fiskars Group commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2017 base year. Fiskars Group commits to reduce absolute scope 3 GHG emissions from upstream transportation and distribution 30% by 2030 from a 2018 base year. Fiskars Group also commits that 60% of its suppliers by spend covering purchased goods and services, will have science-based targets by 2024
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Fletcher Building Limited",NZFBUE0001S0,"Well-below 2°C",,,"New Zealand",Oceania,"Construction Materials","Targets Set","2019-12-01 00:00:00",,"
Fletcher Building Limited commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year. Fletcher Building Limited also commits that 67% of its suppliers by emissions will have science-based targets by 2024.
*The target boundary includes biogenic emissions and removals from bioenergy feedstocks.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"FLUXYS BELGIUM",BE0974265945,,,,Belgium,Europe,"Oil & Gas",Committed,"2019-07-31 23:00:00",,,
Footprint,,,,1,"United States of America (USA)","North America","Specialized Consumer Services",Committed,"2019-06-30 23:00:00",,,
Ford,,,,1,"United States of America (USA)","North America","Automobiles and Components",Committed,"2020-08-31 23:00:00",,,
"Forest Carbon Ltd.",,,,,"United Kingdom (UK)",Europe,"Commercial services and supplies",Committed,"2020-03-31 23:00:00",,,
"Fortune Parts Industry Public Company Limited",TH3786010Z01,1.5°C,,,Thailand,Asia,"Automobiles and Components","Targets Set","2020-06-30 23:00:00",,"
Fortune Parts Industry Public Company Limited commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2024 from a 2018 base year. Fortune Parts Industry Public Company Limited also commits to reduce absolute scope 3 GHG emissions 25% over the same time period. 
* The target boundary includes biogenic emissions and removals associated with the use of bioenergy.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Framery Trade Oy",,1.5°C,1,,Finland,Europe,"Building Products","Targets Set","2020-09-30 23:00:00",,"Framery Trade Oy commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Franz Kaldewei GmbH & Co. KG",,,,,Germany,Europe,"Building Products",Committed,"2020-08-31 23:00:00",,,
"FRASERS PROPERTY AUSTRALIA",,"Well-below 2°C",,,Australia,Oceania,"Real Estate","Targets Set","2019-04-30 23:00:00",,"
Property group Frasers Property Australia commits to reduce scope 1 and 2 GHG emissions 50% per square meter by 2028 from a 2017 base year. Frasers Property Australia also commits to reduce scope 3 GHG emissions 25% per square meter by 2028 from a 2017 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Freddie's Flowers",,1.5°C,1,,"United Kingdom (UK)",Europe,Retailing,"Targets Set","2020-09-30 23:00:00",,"Freddie's Flowers commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Fruit of the Loom, Inc.",,,,,"United States of America (USA)","North America","Textiles, Apparel, Luxury Goods",Committed,"2020-03-01 00:00:00",,,
"Fubon Financial Holdings",TW0002881000,,,,"Taiwan, Province of China",Asia,"Banks, Diverse Financials and Insurance",Committed,"2016-12-01 00:00:00",,,
"FUJI OIL HOLDINGS INC.",JP3816400000,"Well-below 2°C",,,Japan,Asia,"Food and Beverage Processing","Targets Set","2020-04-30 23:00:00",,"
Food products manufacturer FUJIOIL HOLDINGS INC. commits to reduce absolute scope 1 and 2 GHG emissions 40% by 2030 from a 2016 base year. FUJI OIL HOLDINGS INC. also commits to reduce absolute scope 3 GHG emissions 18% by 2030, using a 2016 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"FUJIFILM Holdings Corporation",JP3814000000,"Well-below 2°C",,,Japan,Asia,"Technology Hardware and Equipment","Targets Set","2017-09-30 23:00:00",,"
FUJIFILM Holdings Corporation commits to reduce absolute scope 1, 2, and 3 GHG emissions 45% by 2030 from a 2013 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Fujitsu Limited",JP3818000006,2°C,,,Japan,Asia,"Software and Services","Targets Set","2017-07-31 23:00:00",,"
Japanese multinational information technology company Fujitsu commits to reduce absolute scope 1 and 2 GHG emissions 33% by 2030 and 80% by 2050, from a 2013 base-year. Fujitsu also commits to reduce scope 3 GHG emissions 30% by 2030 from a 2013 base year. The scope 3 reductions cover purchased goods and services and the use of sold products.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
FullCycle,,,,1,"United States of America (USA)","North America","Banks, Diverse Financials and Insurance",Committed,"2019-07-31 23:00:00",,,
FUNO,,,,,Mexico,"Latin America","Real Estate",Committed,"2020-09-30 23:00:00",,,
"Furukawa Electric Co., Ltd.",JP3827200001,2°C,,,Japan,Asia,"Electrical Equipment and Machinery","Targets Set","2019-07-31 23:00:00",,"
Japanese electric and electronics equipment company Furukawa Electric Co., Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 26% by FY30 from a FY17 base year. Furukawa Electric Co., Ltd. Also commits to reduce absolute scope 3 GHG emissions 20% within the same timeframe.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Gap Inc.",US3647601083,1.5°C,,,"United States of America (USA)","North America",Retailing,"Targets Set","2020-01-01 00:00:00",,"
American worldwide clothing and accessories retailer. Gap, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% and scope 3 GHG emissions from purchased goods and services 30% by 2030 from a 2017 base year. Gap Inc. also commits to increase annual sourcing of renewable electricity from 0% in 2017 to 100% by 2030 for its owned and operated facilities globally.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Gebalis – Gestão do Arrendamento da Habitação Municipal de Lisboa, E.M., S.A.",,,,1,Portugal,Europe,"Real Estate",Committed,"2019-12-01 00:00:00",,,
Gecina,FR0010040865,"Well-below 2°C",,,France,Europe,"Real Estate","Targets Set","2017-09-30 23:00:00",,"
Real estate investment trust, Gecina commits to reduce GHG emissions 48% per square meter by 2030, from a 2014 base-year (scope 1, scope 2 and scope 3 emissions from downstream leased assets).
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Geelen Counterflow",,,,1,Netherlands,Europe,"Electrical Equipment and Machinery",Committed,"2020-03-31 23:00:00",,,
GeelongPort,,1.5°C,1,,Australia,Oceania,"Water Transportation","Targets Set","2020-06-30 23:00:00",,"GeelongPort commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
GEKA,,,,,Germany,Europe,"Containers and Packaging",Committed,"2020-06-30 23:00:00",,,
"General Mills Inc.",US3703341046,1.5°C,,1,"United States of America (USA)","North America","Food and Beverage Processing","Targets Set","2021-01-07 00:00:00",,"Multinational manufacturer and marketer of branded consumer foods General Mills commits to reduce absolute scope 1, 2, and 3 GHG emissions 30% by FY2030 from a FY2020 base year. Within that target, General Mills commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a F2020 base year, and reduce absolute scope 3 GHG emissions 30% over the same timeframe.*The target boundary includes biogenic emissions and removals from bioenergy feedstocks","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Genesis Energy Ltd",,1.5°C,,,"New Zealand",Oceania,"Electric Utilities and Energy Related","Targets Set","2021-01-07 00:00:00",,"Genesis Energy Limited commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2025 from a FY2020 base year. Genesis Energy Limited also commits to reduce absolute scope 3 emissions from use of sold products 34.3% by FY2025 from a FY2020 base year.",
"Geo-Tech Consultancy Services",,,,,Pakistan,Asia,"Professional Services",Committed,"2018-07-31 23:00:00",,,
Gestamp,ES0105223004,"Well-below 2°C",,,Spain,Europe,"Automobiles and Components","Targets Set","2020-04-30 23:00:00",,"
Gestamp S.A. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year. Gestamp S.A. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and fuel and energy related activities by 22% by 2030 from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Gilead Sciences, Inc.",,,,,"United States of America (USA)","North America","Pharmaceuticals and Biotech",Committed,"2020-09-30 23:00:00",,,
"Givaudan SA",CH0010645932,1.5°C,,1,Switzerland,Europe,"Consumer Products and Durables","Targets Set","2017-08-31 23:00:00",,"
Swiss manufacturer Givaudan commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2030 from a 2015 base year. Givaudan also has a goal to reduce absolute scope 3 GHG emissions by 20% over the same time period.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
GlaxoSmithKline,GB0009252882,1.5°C,,1,"United Kingdom (UK)",Europe,"Pharmaceuticals and Biotech","Targets Set","2019-03-01 00:00:00",,"“GlaxoSmithKline commits to reduce absolute scope 1 and 2 GHG emissions 34% by 2025 from a 2017 base year. GSK also commits to reduce absolute scope 3 GHG emissions 16% by 2030 from a 2017 base year.”","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Gleeds Corporate Services Limited",,,,,"United Kingdom (UK)",Europe,"Professional Services",Committed,"2020-03-01 00:00:00",,,
Globesight,,,,1,"United Arab Emirates (UAE)",Asia,"Professional Services",Committed,"2019-08-31 23:00:00",,,
Glovo,,,,1,Spain,Europe,"Air Freight Transportation and Logistics",Committed,"2019-08-31 23:00:00",,,
"Godrej & Boyce Mfg. Co. Ltd.",,,,1,India,Asia,"Consumer Products and Durables",Committed,"2020-07-31 23:00:00",,,
"Godrej AgroveT Limited",,,,,India,Asia,"Food Production - Agricultural Production",Committed,"2020-08-31 23:00:00",,,
"Godrej Consumer Products Limited",,,,,India,Asia,"Consumer Products and Durables",Committed,"2020-08-31 23:00:00",,,
"Godrej Industries",,,,,India,Asia,Chemicals,Committed,"2020-08-31 23:00:00",,,
"Godrej Properties Limited",,,,,India,Asia,"Real Estate",Committed,"2020-08-31 23:00:00",,,
"GOL (GOL Linhas Aéreas S.A.)",BRGOLLACNPR4,,,,Brazil,"Latin America","Air Transportation - Airlines",Committed,"2020-07-31 23:00:00",,,
"Grant Thornton UK LLP",,1.5°C,,,"United Kingdom (UK)",Europe,"Professional Services","Targets Set","2019-11-01 00:00:00",,"
Professional services network Grant Thornton UK LLP commits to reduce absolute scopes 1 and 2 GHG emissions 21% by 2023 from a 2018 base year. Grant Thornton UK LLP also commits to reduce absolute scope 3 GHG emissions 21% by 2023 from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Green Element Limited",,1.5°C,,1,"United Kingdom (UK)",Europe,"Professional Services","Targets Set","2020-04-30 23:00:00",,"
Green Element Limited commits to reduce absolute scope 1, 2 and 3 GHG emissions 21% by 2023 from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
Greenstone+,,1.5°C,1,,"United Kingdom (UK)",Europe,"Technology Hardware and Equipment","Targets Set","2020-11-26 00:00:00",,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/

Greenstone Ltd. commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Greif Holding GmbH & Co. KG",,2°C,,,Germany,Europe,"Commercial services and supplies","Targets Set","2019-05-31 23:00:00",,"
Textile Rental Service Company Greif Textile Mietsysteme commits to reduce scope 1 and 2 GHG emissions by 38% per unit of gross value added by 2025 from a 2017 base year.”
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Greystar Real Estate Partners",,,,,"United States of America (USA)","North America","Real Estate",Committed,"2018-12-01 00:00:00",,,
"Grieg Seafood ASA",,"Well-below 2°C",,,Norway,Europe,"Food Production - Animal Source Food Production","Targets Set","2020-07-31 23:00:00",,"
Grieg Seafood ASA commits to reduce absolute scope 1, 2, and 3 GHG emissions 35% by 2030 and 100% by 2050 from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Gromax Agri Equipment Limited",,1.5°C,,,India,Asia,"Automobiles and Components","Targets Set","2020-05-31 23:00:00",,"
Gromax Agri Equipment Ltd. commits to reduce scope 1 and 2 GHG emissions 78% per tractor manufactured by 2033 from a 2018 base year. Gromax Agri Equipment Ltd. also commits to reduce scope 3 GHG emissions 40% per tractor sold over the same target period.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Group Fu Plastic Co., LTD",,,,,China,Asia,Chemicals,Committed,"2020-01-01 00:00:00",,,
"Groupe Public Ferroviaire (GPF) – SNCF",,2°C,,,France,Europe,"Ground Transportation - Railroads","Targets Set","2019-11-01 00:00:00",,"
 Passenger and goods transportation company Groupe Public Ferroviaire (GPF) – SNCF commits to reduce absolute scope 1 and 2 GHG emissions 26% by 2030 from a 2017 base-year. Groupe Public Ferroviaire (GPF) – SNCF also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities 26% by 2030 from a 2017 base-year. SNCF Groupe commits that 70% of its suppliers by emissions will set science-based targets by 2024.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"GROUPE RENAULT",FR0000131906,"Well-below 2°C",,,France,Europe,"Automobiles and Components","Targets Set","2019-04-30 23:00:00",,"
Multinational automobile manufacturer GROUPE RENAULT commits to reduce scope 1 and 2 GHG emissions 60% per car produced by 2030 from a 2012 base-year.
GROUPE RENAULT commits to reduce scope 3 GHG emissions from use of sold products 41% per vehicle kilometer by 2030 from a 2010 base-year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
